chapter_id,use_category,dataset_name,use_details
analysis_framework,Existing Condition,MapPLUTO Shoreline Clipped,Establishing built characterstics of parcels within the project area
analysis_framework,Existing and No Action Condition,DCP Housing and Population Projections,"A workbook for use in establishing the existing and no action condition housing and population characteristics within various study areas. Combines our best available population data, housing permit data, and assumptions about household size and vacancy to estimate current conditions and conditions for build years 3-5 years in the future"
analysis_framework,No Action Condition,ZAP Projects,Establishing non-residential No-Action Condition projects within various study areas
analysis_framework,Green Fast Track,Green Fast Track Lots,For use in determining if housing projects are eligible for the Green Fast Track Type II determination
analysis_framework,Green Fast Track,FastTracker Application,To create a Green Fast Track Report for use in eligibility determination
land_use,Land Use,ZOLA,A DCP Application to view existing land use and zoning conditions
land_use,Land Use,MapPLUTO Shoreline Clipped,Establishing land uses and mapping them within study areas
land_use,Zoning,Zoning Districts,Establishing zoning within study areas
land_use,Zoning,Commercial Overlay Districts,Establishing zoning within study areas
land_use,Zoning,Special Purpose Districts,"Establishing zoning within study areas, including special purpose districts such as Special Coastal Risk Districts for doing WRPs"
land_use,Zoning,Limited Height Districts,Establishing zoning within study areas
land_use,Zoning,Special Purpose Subdistricts,Establishing zoning within study areas
land_use,Zoning,Zoning Map Amendments,Establishing zoning within study areas
land_use,WRP,Preliminary Flood Insurance Rate Maps 2015,Completing WRP Flood Evaluation worksheet
land_use,WRP,Base Flood Elevation 2015,Completing WRP Flood Evaluation worksheet
land_use,WRP,Limit of Moderate Wave Action,Completing WRP Flood Evaluation worksheet
land_use,WRP,Future Floodplain 2050s,Completing WRP Flood Evaluation worksheet
land_use,WRP,Coastal Zone Boundary,"Coastal Zone Boundary Map, Special Area Designations"
land_use,WRP,Ecologically Sensistive Maritime and Industrial Area,"Coastal Zone Boundary Map, Special Area Designations"
land_use,WRP,Priority Marine Activity Zones,"Coastal Zone Boundary Map, Special Area Designations"
land_use,WRP,Recognized Ecological Complexes,"Coastal Zone Boundary Map, Special Area Designations"
land_use,WRP,Significant Maritime and Industrial Area,"Coastal Zone Boundary Map, Special Area Designations"
land_use,WRP,Special Natural Waterfront Areas,"Coastal Zone Boundary Map, Special Area Designations"
land_use,Policy,OneNYC,Public policy evaluation
land_use,Policy,Neighborhood Plans,Public policy evaluation
land_use,Policy,CB Statement of Needs,Public policy evaluation
land_use,Policy,Borough and Citywide Initiatives,Public policy evaluation
land_use,Policy,EDC Plans,Public policy evaluation
land_use,Policy,197-a Plans,Public policy evaluation
land_use,Policy,Housing New York,Public policy evaluation
land_use,Policy,Where We Live NYC 2025,Public policy evaluation
land_use,Base Map,DCP LION,Location Maps (Streets)
land_use,Base Map,Borough Boundaries,Location Maps
land_use,Base Map,DPR Parks Properties,Location Maps
land_use,Base Map,Subways,Location Maps
land_use,Base Map,Roadbeds,Location Maps
land_use,Guidance,NYC Waterfront Revitalization Program Overview,How to conduct a WRP analysis
land_use,Forms,Jamaica Bay Watershed Protection Plan,Form required for projects within the Jamaica Bay Watershed
land_use,Forms,WRP Consistency Assessment Form,Form required for WRP assessments
land_use,Forms,Flood Elevation Worksheet,Worksheet required for WRP assessments
socioeconomic_conditions,Existing and No Action Condition,DCP Housing and Population Projections,"A workbook for use in establishing the existing and no action condition housing and population characteristics within various study areas. Combines our best available population data, housing permit data, and assumptions about household size and vacancy to estimate current conditions and conditions for build years 3-5 years in the future"
socioeconomic_conditions,Existing and No Action Condition,Housing Database,Input to DCP Housing and Population Projections workbook
socioeconomic_conditions,No Action Condition,ZAP Projects,Establishing non-residential No-Action Condition projects within various study areas
socioeconomic_conditions,Study Area,Census Tract Boundaries,Establish the study area and create study area map
socioeconomic_conditions,Indirect Residential Displacement,Population Fact Finder,"American Community Survey (ACS); Income characteristics of existing residents - for median household income, mean household income, household income distribution, poverty, housing tenure, median gross rent, and GRAPI, it is best to use Population Fact Finder because of the work that it does to establish statistical significance."
socioeconomic_conditions,Indirect Residential Displacement,Rent by AMI,Determine affordable unit rents
socioeconomic_conditions,Indirect Residential Displacement,HUD CHAS,Identify households "vulnerable to displacement" (<= 80% AMI)
socioeconomic_conditions,Business Displacement,LEHD,Business locations and characteristics
socioeconomic_conditions,Indirect Residential Displacement,Area Median Income,Establishing current area median income levels
community_facilities,Existing and No Action Condition,DCP Housing and Population Projections,"A workbook for use in establishing the existing and no action condition housing and population characteristics within various study areas. Combines our best available population data, housing permit data, and assumptions about household size and vacancy to estimate current conditions and conditions for build years 3-5 years in the future"
community_facilities,Libraries,Census Tract Boundaries,Establish the study area and create study area map
community_facilities,Public Schools,School District Boundaries,To establish study areas and for location maps
community_facilities,Public Schools,School Subdistrict Boundaries,To establish study areas and for location maps
community_facilities,Public and Charter Schools,LCGMS,A reference for school locations
community_facilities,Public Schools,"Blue Book- Enrollment, Capacity and Utilization Report",Information on school organization and school building utilization to establish existing public school enrollment and capacity data
community_facilities,Public Schools,Demographic Enrollment Projection,No-Action public school enrollment
community_facilities,Public Schools,Projected Housing,No-Action public school enrollment
community_facilities,Public Schools,School Capacity Projects in Process,No-Action public school capacity
community_facilities,Public Schools,School Seats Lost,No-Action public school capacity
community_facilities,Public Schools,School Seats Gained or To Be Created,No-Action public school capacity
community_facilities,Public Schools,All School Proposals,No-Action public school capacity
community_facilities,Public Schools,Projected Public School Ratio,With-Action new students from proposed project
community_facilities,Libraries,Facilities Database,Establishing local library locations
community_facilities,Early Childhood Programs,Early Childcare Capacity and Enrollment,Establishing existing condition capacity and enrollment for local childcare facilities
open_space,Existing and No Action Condition,DCP Housing and Population Projections,"A workbook for use in establishing the existing and no action condition housing and population characteristics within various study areas. Combines our best available population data, housing permit data, and assumptions about household size and vacancy to estimate current conditions and conditions for build years 3-5 years in the future"
open_space,No Action Condition,ZAP Projects,Establishing non-residential No-Action Condition projects within various study areas
open_space,Open Spaces,DPR Parks Properties,Open Space Inventory
open_space,Base Maps,Census Tract Boundaries,Establish the study area and create study area map
open_space,Existing Condition,Population Fact Finder,Dicennial Census; Establishing existing population and household size conditions within study area census tracts
open_space,Open Spaces,POPS,Open Space Inventory
open_space,Open Spaces,Plazas,Open Space Inventory
open_space,Open Spaces,Waterfront Public Access Areas,Open Space Inventory
open_space,Open Spaces,Publicly Owned Waterfront,Open Space Inventory
open_space,Open Spaces,NYS Parks,Open Space Inventory
open_space,Open Spaces,Federal Parks,Open Space Inventory
open_space,No Action Condition,Parks Capital Projects Tracker,Establishing new park spaces in the No-Action Condion
open_space,Screening Assessment,Walk to a Park Service Area,Open Space screening for detailed analysis
open_space,Detailed Assessment,Population Fact Finder,Dicennial Census to establish existing population age characteristics for a detailed indirect effects analysis
shadows,Base Map,2014 3D Model,creating 3D basemap for detailed shadows assessments
shadows,Base Map,Building Heights,creating 3D basemap for detailed shadows assessments
shadows,Base Map,Building Footprints,creating 3D basemap for detailed shadows assessments
shadows,Historic Resources,Historic Building (NYC),Potentially sunlight sensitive historic resources identification
shadows,Historic Resources,Historic District (NYC),Potentially sunlight sensitive historic resources identification
shadows,Historic Resources,Scenic Landmarks,Potentially sunlight sensitive historic resources identification
shadows,Historic Resources,State Building USN Points,Potentially sunlight sensitive historic resources identification
shadows,Historic Resources,State Building District USN Polygons,Potentially sunlight sensitive historic resources identification
shadows,Historic Resources,Historic Districts (National),Potentially sunlight sensitive historic resources identification
shadows,Wetlands,State Regulated Freshwater Wetlands,Potentially sunlight sensitive natural resources identification
shadows,Wetlands,State Regulated Tidal Wetlands,Potentially sunlight sensitive natural resources identification
shadows,Waterbodies,Priority Waterbodies - Lakes,Potentially sunlight sensitive natural resources identification
shadows,Waterbodies,Priority Waterbodies - Estuaries,Potentially sunlight sensitive natural resources identification
shadows,Waterbodies,Priority Waterbodies - Streams,Potentially sunlight sensitive natural resources identification
shadows,Natural Communities,Natural Heritage Communities,Potentially sunlight sensitive natural resources identification
shadows,Waterfront,Beaches,Potentially sunlight sensitive natural resources identification
shadows,Wetlands,National Wetlands Data,Potentially sunlight sensitive natural resources identification
shadows,Natural Communities,Recognized Ecological Complexes,Potentially sunlight sensitive natural resources identification
shadows,Waterfront,Special Natural Waterfront Areas,Potentially sunlight sensitive natural resources identification
shadows,Natural Communities,NYC Parks Forever Wild,Potentially sunlight sensitive natural resources identification
shadows,Open Spaces,DPR Parks Properties,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,School Yard Playgrounds,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,POPS,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,Plazas,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,Waterfront Public Access Areas,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,Publicly Owned Waterfront,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,NYS Parks,Potentially sunlight sensitive open spaces for identification
shadows,Open Spaces,Federal Parks,Potentially sunlight sensitive open spaces for identification
historic_resources,Architectural,Historic Building (NYC),Identifying study area historic resources
historic_resources,Architectural,Historic District (NYC),Identifying study area historic resources
historic_resources,Scenic,Scenic Landmarks,Identifying study area historic resources
historic_resources,Architectural,State Building USN Points,Identifying study area historic resources
historic_resources,Architectural,State Building District USN Polygons,Identifying study area historic resources
historic_resources,Architectural,Historic Districts (National),Identifying study area historic resources
historic_resources,Archaeology,State Archeological Buffer Areas,Identifying study area historic resources
historic_resources,Archaeology,Archaeology Reports,Identifying study area historic resources
historic_resources,Archaeology,Archaeological Sites,Identifying study area historic resources
historic_resources,Architectural,Potential Proposed Landmarks,Identifying potential study area historic resources
historic_resources,Historic Photos,LPC Designation Photo Collection,Showing older condition of architectural resources
historic_resources,Historic Photos,1940s Tax Photo Archives,Showing older condition of architectural resources
historic_resources,Architectural,Historic Designation Reports,Describing historic resources
historic_resources,Guidance,LPC Permits,LPC permit process and documentation
historic_resources,Guidance,Historic Clearance Submission Guidelines,Guidelines for submitting request for historic clearance to LPC for all projects
natural_resources,Wetlands,State Regulated Freshwater Wetlands,Identifying study area natural resources
natural_resources,Wetlands,State Regulated Tidal Wetlands,Identifying study area natural resources
natural_resources,Waterbodies,Priority Waterbodies - Lakes,Identifying study area natural resources
natural_resources,Waterbodies,Priority Waterbodies - Estuaries,Identifying study area natural resources
natural_resources,Waterbodies,Priority Waterbodies - Streams,Identifying study area natural resources
natural_resources,Natural Communities,Natural Heritage Communities,Identifying study area natural resources
natural_resources,Waterfront,Beaches,Identifying study area natural resources
natural_resources,Wetlands,National Wetlands Data,Identifying study area natural resources
natural_resources,Natural Communities,Recognized Ecological Complexes,Identifying study area natural resources
natural_resources,Waterfront,Special Natural Waterfront Areas,Identifying study area natural resources
natural_resources,Natural Communities,NYC Parks Forever Wild,Identifying study area natural resources
natural_resources,Wetlands,NYCDOB Natural Resource Check Flags,Identifying study area natural resources
natural_resources,Natural Communities,USFWS Critical Habitat (Proposed Polygons),Identifying study area natural resources
water_and_sewer,Stormwater,DEP Impervious Area,Input to estimate stormwater flows
water_and_sewer,Stormwater,Stormwater Flood Map - Extreme 2080s Sea Levels,Context for stormwater conditions
water_and_sewer,Stormwater,Stormwater Flood Map - Moderate 2050 Sea Levels,Context for stormwater conditions
water_and_sewer,Stormwater,Stormwater Flood Map - Moderate Current Sea Levels,Context for stormwater conditions
water_and_sewer,Stormwater,Stormwater Flood Map - Limited Current Sea Levels,Context for stormwater conditions
water_and_sewer,Sewer,Facilities Database,identifying the wastewater resource recovery facilities that the project is near
water_and_sewer,Sewer,Open Sewer Atlas,Various data related to DEP infrastructure and policy
water_and_sewer,Worksheet,Water and sewer calculations,For sewer and stormwater calculations
transportation,Base Map,DCP LION,Location Maps (Streets)
transportation,Base Map,Subways,Study area transportation
transportation,Base Map,Railroads,Study area transportation
transportation,Base Map,Buses,Study area transportation
transportation,Base Map,Bike Routes,Study area transportation
transportation,Base Map,Open Streets,Study area transportation
transportation,Transportation Trip Generation,Daily Trip Rate and Peak Period,"Local Retail, Hotel, and Medical Office daily trip rate and peak period distributions"
transportation,Transportation Trip Generation,Modal Split % by Borough & Land Use,"Modal splits for hotel, supermarket, local retail and medical office based on NYC DOT trip generation surveys"
transportation,Transportation Trip Generation,Directional Split Percentage,Weekday & Saturday directional split percentages for multiple land uses
transportation,Transportation Trip Generation,Vehicle Occupancy,"Local Retail, Hotel, and Medical Office Vehicle occupancy"
transportation,Transportation Trip Generation,Truck Generation,"Local Retail, Hotel, and Medical Office Truck Generation"
transportation,Existing Condition,Census Data- Population and Journey to Work,Local Travel Mode information
transportation,Existing Condition,AASHTO CTPP Data Portal,Local Travel Mode/O-D information
transportation,Safety,Vision Zero Corridors and Intersections,Identify Locations for Safety Interventions
transportation,Traffic,NYS Traffic Data Viewer,State ATR data plus projections
transportation,Traffic,Automated Traffic Recorder Sample Counts,Existing Traffic Counts
transportation,Traffic,Truck Route Map,Traffic Assessment
transportation,Parking,Parking Regulations Map,Parking Assessment
transportation,Transit,Hourly Subway Ridership 2020-2024,Transit Assessment
transportation,Transit,Hourly Bus Ridership 2020-2024,Transit Assessment
transportation,Traffic,DOT Current Projects,No-Action condition changes to transportation network
transportation,Basemap,Roadbeds,Location Maps 
transportation,Existing and No Action Condition,DCP Housing and Population Projections,"A workbook for use in establishing the existing and no action condition housing and population characteristics within various study areas. Combines our best available population data, housing permit data, and assumptions about household size and vacancy to estimate current conditions and conditions for build years 3-5 years in the future"
transportation,Resources,Various DOT Data Feeds,	
noise,E-Designations,E-Designations,Existing e-designation locations to understand existing conditions on site
noise,Existing Sources,DCP LION,Helpful in determining noise measurement requirements (Exposed Railways)
noise,Existing Sources,Exposed Railyards,Helpful in determining noise measurement requirements
noise,Existing Sources,Airport Noise Zone - JFK,Helpful in determining noise measurement requirements
noise,Existing Sources,Airport Noise Zone - LGA,Helpful in determining noise measurement requirements
air_quality,E-Designations,E-Designations,Existing e-designation locations to understand existing conditions on site
air_quality,Permits,CATS Permits,Existing industrial source locations for assessment
air_quality,Permits,DEC State Facilities,Existing industrial source locations for assessment
air_quality,Permits,Title V Permits,Existing industrial source locations for assessment
air_quality,Existing Sources,Vent Tower Data,Identifying stationary source
air_quality,Existing Sources,Arterial Highways,Identifying source
air_quality,Land Use,MapPLUTO Shoreline Clipped,Helpful for understanding potential unpermitted sources
hazmat,E-Designations,E-Designations,Existing e-designation locations to understand existing conditions on site
